地区,日期,最高温,最低温,天气,风力风向,日照时长,数据来源
昆明市,2009-01-01,10.4℃,5.6℃,阴,南风3级,0.1小时,国家气象信息中心
昆明市,2009-01-02,12.1℃,6.3℃,多云,南风2级,2.4小时,国家气象信息中心
大理市,2009-01-01,12.8℃,5.6℃,毛毛雨,西南风2级,8.1小时,云南省气象台
大理市,2009-01-02,10.9℃,5.1℃,中雨,南风2级,5.9小时,云南省气象台
玉溪市,2009-01-01,14.2℃,7.8℃,多云,东北风2级,5.6小时,云南省气象台
玉溪市,2009-01-02,15.4℃,8.2℃,晴,东北风1级,8.9小时,云南省气象台
曲靖市,2009-01-01,8.7℃,2.1℃,阴,北风3级,1.2小时,国家气象信息中心
曲靖市,2009-01-02,9.4℃,1.8℃,小雨,北风3级,0.5小时,国家气象信息中心
保山市,2009-01-01,15.2℃,6.1℃,多云,偏东风2级,6.5小时,云南省气象台
保山市,2009-01-02,16.0℃,7.3℃,晴,东南风2级,9.4小时,云南省气象台
